,id,airport_ref,airport_ident,type,description,frequency_mhz
2750,310823,27272,EFSU,ACC,Tampere radar,124.2
2751,310822,27272,EFSU,RDO,Suomussalmi traffic,123.5
2752,310826,27273,EFTO,ACC,Tampere radar,132.675
2753,310825,27273,EFTO,RDO,Torbacka traffic,123.6
2754,52111,2347,EFTP,APP,PIRKKALA APP,126.2
2755,52112,2347,EFTP,ATIS,ATIS,133.55
2756,52113,2347,EFTP,TWR,PIRKKALA TWR,118.7
2757,52118,2348,EFTS,TWR,TWR,123.15
2758,52073,2349,EFTU,ATIS,ATIS,130.05
2759,52074,2349,EFTU,TWR,TWR,118.3
2760,52127,2350,EFUT,ATIS,ATIS,114.6
2761,52128,2350,EFUT,TWR,TWR,119.7
2762,52085,2351,EFVA,ATIS,ATIS,114.5
2763,52086,2351,EFVA,TWR,TWR,119.3
2764,310832,30532,EFVI,ACC,Tampere radar,132.325
2765,310831,30532,EFVI,RDO,Viitasaari traffic,123.5
2766,310829,27274,EFVL,ACC,Tampere radar,124.2
2767,310828,27274,EFVL,RDO,Vaala traffic,123.5
2768,310740,27275,EFVP,ACC,Tampere radar,127.1
2769,310739,27275,EFVP,RDO,Vampula traffic,123.55
2770,52052,2352,EFVR,ATIS,ATIS,128.325
2772,310820,27271,EFVT,ACC,Tampere radar,127.1
2773,310819,27271,EFVT,RDO,Sulkaharju traffic,123.5
2774,310835,27276,EFWB,ACC,Tampere radar,135.525
2775,310834,27276,EFWB,RDO,Wredeby traffic,123.55
2776,52049,2353,EFYL,UNIC,UNICOM,122.5
2777,307717,307538,EG03,A/G,Badminton Radio,123.175
2778,316822,28473,EG64,Info,,129.975
2779,58426,3075,EG74,A/G,RDO,122.825
2780,58151,2385,EGAA,APP,APP,128.5
2781,58152,2385,EGAA,ATIS,ATIS,128.2
2782,58153,2385,EGAA,GND,GND,121.75
2783,308372,2385,EGAA,ILS 17,,110.9
2784,308371,2385,EGAA,ILS 25,,109.9
2785,58154,2385,EGAA,OPS,OPS,26.48
2786,58155,2385,EGAA,RDR,DIRECTOR,120.9
2787,58156,2385,EGAA,TWR,TWR,118.3
2788,58423,2386,EGAB,A/G,RDO,123.205
2789,58399,2387,EGAC,APP,BELFAST APP,130.85
2790,58400,2387,EGAC,ATIS,ATIS,136.625
2791,58401,2387,EGAC,TWR,BELFAST TWR,122.825
2792,71959,29105,EGAD,A/G,Newtownards A/G,128.305
2793,58424,2388,EGAE,APP,Eglinton Approach,123.625
2794,334169,2388,EGAE,ATIS,Eglinton Information,119.38
2795,58425,2388,EGAE,TWR,Eglinton Tower,134.155
2796,58157,2389,EGBB,APP,APP,118.05
2797,58158,2389,EGBB,ATIS,ATIS,136.02
2798,58160,2389,EGBB,GND,GND,121.8
2799,58161,2389,EGBB,TWR,TWR,118.3
2800,71921,29108,EGBD,A/G,Derby A/G,118.35
2801,333690,2390,EGBE,AFIS,Coventry Infromation,123.83
2802,333691,2390,EGBE,FIRE,Coventry Fire,121.6
2803,307359,307357,EGBF,A/G,A/G,119.025
2804,307723,307357,EGBF,A/G,Breighton Radio,129.8
2805,58186,2391,EGBG,A/G,RDO,122.125
2806,58365,2392,EGBJ,APP,GLOSTER APP,128.55
2807,58366,2392,EGBJ,ATIS,ATIS,127.475
2808,58367,2392,EGBJ,EMR,FIRE,121.6
2809,58368,2392,EGBJ,RDR,RADAR,120.975
2810,58369,2392,EGBJ,TWR,GLOSTER TWR,122.9
2811,71961,29109,EGBK,A/G,Northampton Sywell A/G,122.7
2812,71962,29109,EGBK,AFIS,Northampton Sywell AFIS,122.7
2813,71951,29110,EGBL,A/G,Long Marston A/G,129.825
2814,71989,29111,EGBM,A/G,Tatenhill A/G,124.075
2815,58262,2393,EGBN,A/G,A/G VOICE RDO,134.875
2816,58353,2394,EGBO,APP,APP,123.0
2817,58354,2394,EGBO,ATIS,ATIS,124.875
2818,58355,2394,EGBO,TWR,TWR,123.0
2819,58099,2395,EGBP,AFIS,INFO,118.9
2820,321606,307540,EGBR,Radio,Breighton Radio,129.8
2821,71983,29112,EGBS,A/G,Shobdon A/G,123.5
2822,71984,29112,EGBS,AFIS,Shobdon AFIS,123.5
2823,58546,2396,EGBT,A/G,RDO,122.175
2824,71985,29113,EGBV,A/G,Silverstone A/G,121.075
2825,58547,2397,EGBW,AFIS,INFO,124.03
2826,71952,29114,EGCB,AFIS,Manchester Barton AFIS,120.25
2827,58406,2398,EGCC,APP,APP,135.0
2828,58407,2398,EGCC,ATIS,ATIS,128.175
2829,58408,2398,EGCC,CLD,CLNC DEL,121.7
2830,58409,2398,EGCC,GND,GND,121.85
2831,58410,2398,EGCC,TWR,TWR,118.625
2832,329164,2398,EGCC,TWR,,119.4
2833,58506,2399,EGCD,APP,APP,130.75
2834,58507,2399,EGCD,TWR,TWR,120.7
2835,71977,29115,EGCF,A/G,Sandtoft A/G,130.425
