2022-05-16   00:16:55:595148,-16,6,
2022-05-16   00:16:55:969634,-16,6,
2022-05-16   00:16:55:997174,-16,6,
2022-05-16   00:16:56:021221,-16,6,
2022-05-16   00:16:56:038245,-16,6,
2022-05-16   00:16:56:099119,-16,6,
2022-05-16   00:16:56:197777,-16,6,
2022-05-16   00:16:56:300212,-16,6,
2022-05-16   00:16:56:402239,-16,6,
2022-05-16   00:16:56:500808,-16,6,
2022-05-16   00:16:56:603243,-512,463,
2022-05-16   00:16:56:705016,-512,463,
2022-05-16   00:16:56:808063,-512,385,
2022-05-16   00:16:56:906289,-512,6,
2022-05-16   00:16:57:003936,-512,6,
2022-05-16   00:16:57:106815,-512,6,
2022-05-16   00:16:57:204801,-512,6,
2022-05-16   00:16:57:307103,-512,2,
2022-05-16   00:16:57:409985,-512,-41,
2022-05-16   00:16:57:511998,-512,-193,
2022-05-16   00:16:57:609867,-506,-512,
2022-05-16   00:16:57:712957,-510,-367,
2022-05-16   00:16:57:810949,-403,6,
2022-05-16   00:16:57:913217,-82,262,
2022-05-16   00:16:58:012071,-15,512,
2022-05-16   00:16:58:114176,-15,512,
2022-05-16   00:16:58:212873,93,176,
2022-05-16   00:16:58:311057,-16,6,
2022-05-16   00:16:58:412855,-15,6,
2022-05-16   00:16:58:515034,-16,-132,
2022-05-16   00:16:58:617789,-16,-311,
2022-05-16   00:16:58:716207,-15,6,
2022-05-16   00:16:58:818046,-16,238,
2022-05-16   00:16:58:917135,-16,512,
2022-05-16   00:16:59:019384,397,512,
2022-05-16   00:16:59:117193,510,512,
2022-05-16   00:16:59:220215,512,512,
2022-05-16   00:16:59:318167,512,6,
2022-05-16   00:16:59:420911,-16,6,
2022-05-16   00:16:59:518978,-16,6,
2022-05-16   00:16:59:621174,-16,6,
2022-05-16   00:16:59:720829,-16,6,
2022-05-16   00:16:59:822292,-15,6,
2022-05-16   00:16:59:920095,-15,6,
2022-05-16   00:17:00:022961,-15,6,
2022-05-16   00:17:00:121395,-16,6,
2022-05-16   00:17:00:223134,-16,6,
2022-05-16   00:17:00:326013,-15,6,
2022-05-16   00:17:00:424073,-16,6,
2022-05-16   00:17:00:526726,-16,454,
2022-05-16   00:17:00:629431,150,512,
2022-05-16   00:17:00:727392,148,512,
2022-05-16   00:17:00:829200,147,512,
2022-05-16   00:17:00:928306,-16,153,
2022-05-16   00:17:01:030597,-16,6,
2022-05-16   00:17:01:127729,-15,6,
2022-05-16   00:17:01:231161,-16,6,
2022-05-16   00:17:01:328900,-15,6,
2022-05-16   00:17:01:431802,-15,6,
2022-05-16   00:17:01:530113,-16,6,
2022-05-16   00:17:01:632052,-16,6,
2022-05-16   00:17:01:730944,-15,6,
2022-05-16   00:17:01:833152,-15,6,
2022-05-16   00:17:01:935366,-16,6,
2022-05-16   00:17:02:033233,-16,6,
2022-05-16   00:17:02:135886,-265,354,
2022-05-16   00:17:02:239122,-419,510,
2022-05-16   00:17:02:340808,-270,510,
2022-05-16   00:17:02:439196,-16,231,
2022-05-16   00:17:02:537216,-15,6,
2022-05-16   00:17:02:635247,-16,6,
2022-05-16   00:17:02:738293,-16,6,
2022-05-16   00:17:02:839796,-16,6,
2022-05-16   00:17:02:938164,-16,6,
2022-05-16   00:17:03:040794,-16,6,
2022-05-16   00:17:03:139640,-15,6,
2022-05-16   00:17:03:241660,-15,6,
2022-05-16   00:17:03:340915,-16,6,
2022-05-16   00:17:03:442339,-15,6,
2022-05-16   00:17:03:540812,-16,6,
2022-05-16   00:17:03:642948,-16,6,
2022-05-16   00:17:03:745290,-16,6,
2022-05-16   00:17:03:844167,-15,6,
2022-05-16   00:17:03:946239,-16,6,
2022-05-16   00:17:04:044387,-16,6,
2022-05-16   00:17:04:146309,-15,6,
2022-05-16   00:17:04:244953,-16,6,
2022-05-16   00:17:04:347789,-15,6,
2022-05-16   00:17:04:446086,-15,6,
2022-05-16   00:17:04:548167,233,6,
2022-05-16   00:17:04:651038,512,6,
2022-05-16   00:17:04:752918,510,-162,
2022-05-16   00:17:04:851374,512,-225,
2022-05-16   00:17:04:953535,512,-310,
2022-05-16   00:17:05:055399,510,-348,
2022-05-16   00:17:05:154058,510,-357,
2022-05-16   00:17:05:256849,512,-420,
2022-05-16   00:17:05:354915,512,-512,
2022-05-16   00:17:05:457659,310,-512,
2022-05-16   00:17:05:556000,11,-512,
2022-05-16   00:17:05:657568,-14,-512,
2022-05-16   00:17:05:759910,450,-512,
2022-05-16   00:17:05:858882,510,-512,
2022-05-16   00:17:05:960908,512,-512,
2022-05-16   00:17:06:059999,512,-97,
2022-05-16   00:17:06:157883,512,6,
2022-05-16   00:17:06:260120,512,82,
2022-05-16   00:17:06:362762,512,71,
2022-05-16   00:17:06:460863,512,6,
2022-05-16   00:17:06:559428,-15,6,
2022-05-16   00:17:06:662119,-15,6,
2022-05-16   00:17:06:764151,-16,5,
2022-05-16   00:17:06:862411,-16,6,
2022-05-16   00:17:06:964276,366,7,
2022-05-16   00:17:07:067092,512,263,
2022-05-16   00:17:07:164754,512,310,
2022-05-16   00:17:07:267866,512,307,
2022-05-16   00:17:07:369909,512,308,
2022-05-16   00:17:07:468040,512,512,
2022-05-16   00:17:07:570073,512,512,
2022-05-16   00:17:07:668996,512,512,
2022-05-16   00:17:07:771847,512,512,
2022-05-16   00:17:07:869951,510,372,
2022-05-16   00:17:07:968084,512,6,
2022-05-16   00:17:08:074261,512,100,
2022-05-16   00:17:08:172300,512,512,
2022-05-16   00:17:08:274924,512,510,
2022-05-16   00:17:08:373956,512,512,
2022-05-16   00:17:08:475953,512,512,
2022-05-16   00:17:08:573946,463,512,
2022-05-16   00:17:08:676718,512,512,
2022-05-16   00:17:08:778933,512,331,
2022-05-16   00:17:08:877016,512,317,
2022-05-16   00:17:08:979770,512,439,
2022-05-16   00:17:09:077787,512,512,
2022-05-16   00:17:09:180174,512,510,
2022-05-16   00:17:09:282806,512,180,
2022-05-16   00:17:09:380965,512,6,
2022-05-16   00:17:09:479623,510,6,
2022-05-16   00:17:09:580911,512,5,
2022-05-16   00:17:09:684198,512,187,
2022-05-16   00:17:09:782039,196,510,
2022-05-16   00:17:09:885254,-15,512,
2022-05-16   00:17:09:986969,280,512,
2022-05-16   00:17:10:084967,510,512,
2022-05-16   00:17:10:187113,512,373,
2022-05-16   00:17:10:285812,512,7,
2022-05-16   00:17:10:387859,512,-107,
2022-05-16   00:17:10:487098,512,-35,
2022-05-16   00:17:10:589448,512,204,
2022-05-16   00:17:10:691683,512,409,
2022-05-16   00:17:10:789908,512,433,
2022-05-16   00:17:10:887440,450,6,
2022-05-16   00:17:10:989993,-16,6,
2022-05-16   00:17:11:089101,-15,7,
2022-05-16   00:17:11:191345,122,6,
2022-05-16   00:17:11:293732,512,441,
2022-05-16   00:17:11:396179,512,440,
2022-05-16   00:17:11:494085,512,440,
2022-05-16   00:17:11:596115,512,512,
2022-05-16   00:17:11:695100,432,512,
2022-05-16   00:17:11:797569,221,512,
2022-05-16   00:17:11:895804,449,512,
2022-05-16   00:17:11:997459,510,334,
2022-05-16   00:17:12:104157,512,6,
2022-05-16   00:17:12:198243,512,6,
2022-05-16   00:17:12:301207,512,-106,
2022-05-16   00:17:12:399131,512,6,
2022-05-16   00:17:12:498025,93,6,
2022-05-16   00:17:12:600225,512,509,
2022-05-16   00:17:12:702055,512,512,
2022-05-16   00:17:12:804951,512,512,
2022-05-16   00:17:12:903191,-16,6,
2022-05-16   00:17:13:001206,-16,6,
2022-05-16   00:17:13:104198,512,124,
2022-05-16   00:17:13:205581,512,126,
2022-05-16   00:17:13:304625,510,119,
2022-05-16   00:17:13:406074,512,167,
2022-05-16   00:17:13:509448,512,512,
2022-05-16   00:17:13:607195,512,512,
2022-05-16   00:17:13:710033,512,512,
2022-05-16   00:17:13:808028,512,512,
2022-05-16   00:17:13:909780,512,295,
2022-05-16   00:17:14:009350,512,6,
2022-05-16   00:17:14:111992,510,110,
2022-05-16   00:17:14:213102,512,512,
2022-05-16   00:17:14:312104,512,512,
2022-05-16   00:17:14:414186,512,512,
2022-05-16   00:17:14:512191,-16,484,
2022-05-16   00:17:14:615185,329,482,
2022-05-16   00:17:14:717058,510,358,
2022-05-16   00:17:14:815853,512,363,
2022-05-16   00:17:14:917777,512,232,
2022-05-16   00:17:15:016823,512,174,
2022-05-16   00:17:15:119356,512,510,
2022-05-16   00:17:15:217000,512,510,
2022-05-16   00:17:15:319128,512,22,
2022-05-16   00:17:15:417252,510,6,
2022-05-16   00:17:15:520191,510,101,
2022-05-16   00:17:15:622219,512,122,
2022-05-16   00:17:15:720248,510,6,
2022-05-16   00:17:15:818860,-16,6,
2022-05-16   00:17:15:921032,-16,5,
